ID,EMPRESA_JUNIOR,FED,CLUSTER,FATURAMENTO,PORCENTAGEM_MEMBROS,N_PROJETOS,ACOES_COMPARTILHADAS,PARTICIPACAO,NPS,PROJETOS_IMPACTO
696,Edificar Engenharia Jr,FEMTEJ,1,10500,0,15,0,0,0,0
732,In Loco Jr,FEJEMG,1,18000,60,15,1,60,15,8
441,Projagro,Juniores,2,52040.04,80,24,5,50,75,18
343,Júnior Design,FEJEPAR,3,42000,85,32,10,90,50,20
741,Prospere Consultoria,FEJEPE,2,36255,100,18,1,33,1,1
588,Floema Júnior Consultoria Florestal - UFES,Juniores,1,6000,60,25,2,60,50,13
9,Completur Jr,FEJEMG,1,25000,37,15,2,100,26,4
437,Potencial - Consultoria e Projetos Elétricos,FEJESP,1,18000,58,12,1,64,25,3
840,EMPsi Jr,FEJESP,2,13000,83,13,1,45,50,7
230,Econsul,RN Júnior,1,12000,70,9,2,50,45,5
1261,Escritório modelo de contabilidade ,Acre Júnior,S/N,0,0,0,0,0,0,0
1265,Dynamo Junior,Roraima Júnior,S/N,0,0,0,0,0,0,0
383,Titanus Soluções Sustentáveis,RioJunior,1,14971,80,12,3,40,66,8
133,Empresa Jr. ESPM,FEJERS,4,189750,80,23,2,80,40,10
11,Code Empresa Júnior de Computação,FEJEMG,2,40000,54,15,5,35,50,8
188,ITEP Jr,FEJERS,4,132641.13,80,40,1,80,50,20
104,Global Jr.,FEJERS,2,45510,75,8,1,70,100,8
1132,TRIUNITY CONSULTORIA JR,FEJEMS,1,5000,45,10,1,33,50,5
315,CONSET,FEJEPAR,1,19000,95,25,3,75,75,19
345,PSIQUE,FEJEPAR,1,9000,80,20,1,60,37,8
589,Empresa Júnior Engenharia Mackenzie,FEJESP,3,86362,27,30,1,33,1,15
778,Inovale Jr,FEJECE,2,22500,100,23,2,90,65,15
684,Effectus Júnior,FEJEMS,1,15000,50,12,2,60,50,6
316,EMJEL,FEJEPAR,1,23750,80,19,2,85,50,11
321,Engenium - Empresa Junior,FEJEPAR,2,18000,80,22,2,70,80,3
333,PROJr - Empresa Júnior de Engenharia Civil,FEJEPAR,1,11000,56,20,1,50,76,16
13,EJEP,FEJESC,5,250000,94,46,10,75,50,23
122,GEPEA - Consultoria em Alimentos,FEJESP,5,750000,75,60,20,80,1,4
100,EESC jr.,FEJESP,4,262000,50,58,2,60,43,25
1266,Portal Empresa Júnior de Engenharia Civil - PENGE,Roraima Júnior,1,2500,100,5,1,33,50,3
530,Contrate uma EJ,Brasil Júnior,1,22.22,40,20,1,60,40,8
332,Solumax ,FEJEPAR,1,7597,63,7,1,77,50,4
3,Econsult Consultoria Econômica,Concentro,5,360000,85,68,10,75,20,14
27,A.C.E. Consultoria,FEJEPE,5,500000,80,89,4,100,90,81
62,Energy Junior,Juniores,4,150000,75,12,2,86,50,6
319,INOVATECH,FEJEPAR,3,76300,75,26,1,80,50,13
789,Decisão Consultoria Júnior,FEJEMG,1,15000,100,30,1,66,50,30
447,UEZO Jr. Consultoria,RioJunior,S/N,0,0,0,0,0,0,0
498,Concretize Jr,UNIJr-BA,4,65000,70,75,2,50,8,6
335,Engenharia de Materiais Júnior  EMa-Jr,FEJEPAR,3,37000,44,45,2,70,25,12
524,AGROVALE Junior ,FEMTEJ,S/N,0,0,0,0,0,0,0
15,Hidros Consultoria,RioJunior,4,117000,73,39,3,50,90,36
28,Ex Lege Júnior,Goiás Júnior,3,22500,96,42,2,43,9,4
418,Empreender Jr. ,FEJESP,2,28188.3,75,22,1,50,75,17
544,PROADE,Concentro,1,650,80,10,3,80,1,1
1117,Odisseia - Consultoria Literária,FEJESP,1,8462.14,75,31,2,33,1,1
546,DECON,PB Júnior,1,18000,100,18,1,35,30,9
1269,Aditum Júnior,Roraima Júnior,S/N,0,0,0,0,0,0,0
