EMPRESA_JUNIOR,FEDERACAO,TEMPO_MEDIO_DIAS,META_participacao_eventos,META_Impacto,MES,FATURAMENTO,PROJETOS,N_ACOES_COMPARTILHADAS,ESTADO,CIDADE,MEMBROS
CEFET Jr. Consultoria,RioJunior,27.71,80,28,1,3821.53,1,0,RJ,Rio de Janeiro,30
CEFET Jr. Consultoria,RioJunior,27.71,80,28,2,9062.74,5,0,RJ,Rio de Janeiro,30
CEFET Jr. Consultoria,RioJunior,27.71,80,28,3,9331.34,1,0,RJ,Rio de Janeiro,30
CEFET Jr. Consultoria,RioJunior,27.71,80,28,4,0,0,0,RJ,Rio de Janeiro,30
ENGAJ - Engenharia de Alimentos Jr.,FEJEMG,23.33,55,10,1,0,0,0,MG,,20
ENGAJ - Engenharia de Alimentos Jr.,FEJEMG,23.33,55,10,2,488.9,1,0,MG,,20
ENGAJ - Engenharia de Alimentos Jr.,FEJEMG,23.33,55,10,3,211.65,2,0,MG,,20
ENGAJ - Engenharia de Alimentos Jr.,FEJEMG,23.33,55,10,4,0,0,0,MG,,20
RH Consultoria Júnior - UFMG ,FEJEMG,23,58,9,1,0,0,0,MG,Belo Horizonte,23
RH Consultoria Júnior - UFMG ,FEJEMG,23,58,9,2,1176,1,0,MG,Belo Horizonte,23
RH Consultoria Júnior - UFMG ,FEJEMG,23,58,9,3,0,0,0,MG,Belo Horizonte,23
RH Consultoria Júnior - UFMG ,FEJEMG,23,58,9,4,0,0,0,MG,Belo Horizonte,23
AGROVALE Junior ,FEMTEJ,NaN,0,0,1,0,0,0,MT,,1
AGROVALE Junior ,FEMTEJ,NaN,0,0,2,0,0,0,MT,,1
AGROVALE Junior ,FEMTEJ,NaN,0,0,3,0,0,0,MT,,1
AGROVALE Junior ,FEMTEJ,NaN,0,0,4,0,0,0,MT,,1
EletronJun,Concentro,16.5,52,13,1,300,1,0,DF,Brasília,27
EletronJun,Concentro,16.5,52,13,2,400,1,0,DF,Brasília,27
EletronJun,Concentro,16.5,52,13,3,2000,1,0,DF,Brasília,27
EletronJun,Concentro,16.5,52,13,4,34.02,1,0,DF,Brasília,27
ADM Consult,RN Júnior,83.36,60,66,1,22073.65,4,0,RN,Natal,24
ADM Consult,RN Júnior,83.36,60,66,2,29788,6,1,RN,Natal,24
ADM Consult,RN Júnior,83.36,60,66,3,21268.15,4,0,RN,Natal,24
ADM Consult,RN Júnior,83.36,60,66,4,0,0,0,RN,Natal,24
EJEQ,FEJEPAR,65.63,95,26,1,2622,1,0,PR,Curitiba,24
EJEQ,FEJEPAR,65.63,95,26,2,2103,1,0,PR,Curitiba,24
EJEQ,FEJEPAR,65.63,95,26,3,10590,3,0,PR,Curitiba,24
