EMPRESA_JUNIOR,FEDERACAO,ANO_FEDERACAO,CLUSTER_2018,CLUSTER_2019,AC,TEMPO_MEDIO_DIAS,FATURAMENTO,N_MEMBROS_PROJETO,NPS,ESTADO,CIDADE,UNIVERSIDADE,MEMBROS,ID
Gama Jr,Juniores,2017,1,1,Não,41.67,285.00,2,9,ES,São Mateus,IFES,11,753
Gama Jr,Juniores,2017,1,1,Não,41.67,2000.00,5,N/A,ES,São Mateus,IFES,11,753
Gama Jr,Juniores,2017,1,1,Não,41.67,650.00,4,8,ES,São Mateus,IFES,11,753
Ciclus Consultoria,FEJEPAR,2011,3,2,Não,50.44,1640.00,4,N/A,PR,Curitiba,UFPR,26,269
Ciclus Consultoria,FEJEPAR,2011,3,2,Não,50.44,895.25,1,N/A,PR,Curitiba,UFPR,26,269
Ciclus Consultoria,FEJEPAR,2011,3,2,Não,50.44,904.36,4,N/A,PR,Curitiba,UFPR,26,269
Ciclus Consultoria,FEJEPAR,2011,3,2,Não,50.44,2750.00,7,N/A,PR,Curitiba,UFPR,26,269
Ciclus Consultoria,FEJEPAR,2011,3,2,Não,50.44,2266.29,5,N/A,PR,Curitiba,UFPR,26,269
Ciclus Consultoria,FEJEPAR,2011,3,2,Não,50.44,100.00,2,N/A,PR,Curitiba,UFPR,26,269
Química Jr,FEJESP,2008,2,2,Não,50,1950.00,1,N/A,SP,São Paulo,UNESP,36,143
Química Jr,FEJESP,2008,2,2,Não,50,1300.00,6,N/A,SP,São Paulo,UNESP,36,143
Química Jr,FEJESP,2008,2,2,Não,50,3100.00,10,N/A,SP,São Paulo,UNESP,36,143
Química Jr,FEJESP,2008,2,2,Não,50,3900.00,1,N/A,SP,São Paulo,UNESP,36,143
Química Jr,FEJESP,2008,2,2,Não,50,950.00,2,N/A,SP,São Paulo,UNESP,36,143
Archipolis Júnior,Juniores,2017,1,2,Não,35.15,1500.00,4,N/A,ES,Vitória,Universidade Federal do Espírito Santo,25,582
Archipolis Júnior,Juniores,2017,1,2,Não,35.15,634.00,3,N/A,ES,Vitória,Universidade Federal do Espírito Santo,25,582
Archipolis Júnior,Juniores,2017,1,2,Não,35.15,1628.50,7,N/A,ES,Vitória,Universidade Federal do Espírito Santo,25,582
Archipolis Júnior,Juniores,2017,1,2,Não,35.15,1500.00,4,N/A,ES,Vitória,Universidade Federal do Espírito Santo,25,582
Archipolis Júnior,Juniores,2017,1,2,Não,35.15,1609.00,4,N/A,ES,Vitória,Universidade Federal do Espírito Santo,25,582
Archipolis Júnior,Juniores,2017,1,2,Não,35.15,1600.00,3,N/A,ES,Vitória,Universidade Federal do Espírito Santo,25,582
Archipolis Júnior,Juniores,2017,1,2,Não,35.15,1116.00,3,N/A,ES,Vitória,Universidade Federal do Espírito Santo,25,582
Archipolis Júnior,Juniores,2017,1,2,Não,35.15,1800.00,4,N/A,ES,Vitória,Universidade Federal do Espírito Santo,25,582
Archipolis Júnior,Juniores,2017,1,2,Não,35.15,1250.00,3,N/A,ES,Vitória,Universidade Federal do Espírito Santo,25,582
Archipolis Júnior,Juniores,2017,1,2,Não,35.15,248.50,3,N/A,ES,Vitória,Universidade Federal do Espírito Santo,25,582
Archipolis Júnior,Juniores,2017,1,2,Não,35.15,1276.00,4,N/A,ES,Vitória,Universidade Federal do Espírito Santo,25,582
Archipolis Júnior,Juniores,2017,1,2,Não,35.15,1500.00,4,10,ES,Vitória,Universidade Federal do Espírito Santo,25,582
Archipolis Júnior,Juniores,2017,1,2,Não,35.15,280.00,3,N/A,ES,Vitória,Universidade Federal do Espírito Santo,25,582
Precisão Engenharia Empresa Junior de Engenharia Mecânica,FEJESP,2017,1,1,Não,38.33,380.00,5,N/A,SP,Ilha Solteira,UNESP,21,575
Precisão Engenharia Empresa Junior de Engenharia Mecânica,FEJESP,2017,1,1,Não,38.33,200.00,3,N/A,SP,Ilha Solteira,UNESP,21,575
Precisão Engenharia Empresa Junior de Engenharia Mecânica,FEJESP,2017,1,1,Não,38.33,200.00,1,N/A,SP,Ilha Solteira,UNESP,21,575
Precisão Engenharia Empresa Junior de Engenharia Mecânica,FEJESP,2017,1,1,Não,38.33,1000.00,1,N/A,SP,Ilha Solteira,UNESP,21,575
Precisão Engenharia Empresa Junior de Engenharia Mecânica,FEJESP,2017,1,1,Não,38.33,1000.00,1,N/A,SP,Ilha Solteira,UNESP,21,575
Precisão Engenharia Empresa Junior de Engenharia Mecânica,FEJESP,2017,1,1,Não,38.33,2000.00,9,N/A,SP,Ilha Solteira,UNESP,21,575
EDIFICar Jr.,FEJESP,2015,1,2,Não,29.67,1355.00,7,N/A,SP,São Carlos,UFSCAR,23,168
EDIFICar Jr.,FEJESP,2015,1,2,Não,29.67,801.00,3,N/A,SP,São Carlos,UFSCAR,23,168
EDIFICar Jr.,FEJESP,2015,1,2,Não,29.67,1282.02,3,10,SP,São Carlos,UFSCAR,23,168
EDIFICar Jr.,FEJESP,2015,1,2,Não,29.67,600.00,3,10,SP,São Carlos,UFSCAR,23,168
EDIFICar Jr.,FEJESP,2015,1,2,Não,29.67,4320.00,2,N/A,SP,São Carlos,UFSCAR,23,168
EDIFICar Jr.,FEJESP,2015,1,2,Não,29.67,680.00,3,N/A,SP,São Carlos,UFSCAR,23,168
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,12564.00,4,N/A,PE,Recife,UPE,51,29
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,9000.00,2,N/A,PE,Recife,UPE,51,29
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,11500.00,2,N/A,PE,Recife,UPE,51,29
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,5000.00,3,10,PE,Recife,UPE,51,29
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,8000.00,2,N/A,PE,Recife,UPE,51,29
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,4508.50,2,N/A,PE,Recife,UPE,51,29
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,13400.00,3,N/A,PE,Recife,UPE,51,29
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,8660.00,3,N/A,PE,Recife,UPE,51,29
