ID,Unidade,valor,renda,federacao
1,Roraima,11011454,1204,Roraima Júnior
2,Acre,13751126,909,Acre Júnior
3,Amapá,14338838,857,FEJEAP
4,Tocantins,31575831,1045,Tocantins Júnior
5,Sergipe,38866964,906,SERJÚNIOR
6,Rondônia,39450587,1113,FEJERO
7,Piauí,41405815,817,Piauí Júnior
8,Alagoas,49456362,714,FEJEA
9,Paraíba,59088986,898,PB Júnior
10,Rio Grande do Norte,59660847,956,RN Júnior
11,Maranhão,85286226,605,Maranhão Júnior
12,Amazonas,89017165,791,Baré Júnior
13,Mato Grosso do Sul,91865803,1439,FEJEMS
14,Espírito Santo,109226783,1295,Juniores
15,Mato Grosso,123834253,1386,FEMTEJ
16,Pará,138068008,863,Pará Júnior
17,Ceará,138378785,855,FEJECE
18,Pernambuco,167289930,871,FEJEPE
19,Goiás,181692435,1323,Goiás Júnior
20,Distrito Federal,235497107,2460,Concentro
21,Santa Catarina,256661190,1660,FEJESC
22,Bahia,258649049,841,UNIJr-BA
23,Paraná,401661680,1607,FEJEPAR
24,Rio Grande do Sul,408645099,1705,FEJERS
25,Minas Gerais,544633968,1322,FEJEMG
26,Rio de Janeiro,640185780,1689,RioJunior
27,São Paulo,2038004931,1898,FEJESP
