"EMPRESA,FED,""PROJETOS"""
"CEFET Jr. Consultoria,""RioJunior"",""1"""
"CEFET Jr. Consultoria,""RioJunior"",""5"""
"CEFET Jr. Consultoria,""RioJunior"",""1"""
"CEFET Jr. Consultoria,""RioJunior"",""0"""
"ENGAJ - Engenharia de Alimentos Jr.,""FEJEMG"",""0"""
"ENGAJ - Engenharia de Alimentos Jr.,""FEJEMG"",""1"""
"ENGAJ - Engenharia de Alimentos Jr.,""FEJEMG"",""2"""
"ENGAJ - Engenharia de Alimentos Jr.,""FEJEMG"",""0"""
"RH Consultoria Júnior - UFMG ,""FEJEMG"",""0"""
"RH Consultoria Júnior - UFMG ,""FEJEMG"",""1"""
"RH Consultoria Júnior - UFMG ,""FEJEMG"",""0"""
"RH Consultoria Júnior - UFMG ,""FEJEMG"",""0"""
"AGROVALE Junior ,""FEMTEJ"",""0"""
"AGROVALE Junior ,""FEMTEJ"",""0"""
"AGROVALE Junior ,""FEMTEJ"",""0"""
"AGROVALE Junior ,""FEMTEJ"",""0"""
"EletronJun,""Concentro"",""1"""
"EletronJun,""Concentro"",""1"""
"EletronJun,""Concentro"",""1"""
"EletronJun,""Concentro"",""1"""
"ADM Consult,""RN Júnior"",""4"""
"ADM Consult,""RN Júnior"",""6"""
"ADM Consult,""RN Júnior"",""4"""
"ADM Consult,""RN Júnior"",""0"""
"EJEQ,""FEJEPAR"",""1"""
"EJEQ,""FEJEPAR"",""1"""
"EJEQ,""FEJEPAR"",""3"""
"EJEQ,""FEJEPAR"",""3"""
"Contrate uma EJ,""Brasil Júnior"",""0"""
"Contrate uma EJ,""Brasil Júnior"",""0"""
"Contrate uma EJ,""Brasil Júnior"",""0"""
"Contrate uma EJ,""Brasil Júnior"",""0"""
"UFLA Júnior Consultoria Administrativa,""FEJEMG"",""0"""
"UFLA Júnior Consultoria Administrativa,""FEJEMG"",""1"""
"UFLA Júnior Consultoria Administrativa,""FEJEMG"",""0"""
"UFLA Júnior Consultoria Administrativa,""FEJEMG"",""0"""
"ICMC Junior,""FEJESP"",""2"""
"ICMC Junior,""FEJESP"",""1"""
"ICMC Junior,""FEJESP"",""0"""
"ICMC Junior,""FEJESP"",""1"""
"Nutrirp,""FEJESP"",""1"""
"Nutrirp,""FEJESP"",""0"""
"Nutrirp,""FEJESP"",""11"""
"Nutrirp,""FEJESP"",""1"""
"Nuclêa Jr ,""Pará Júnior"",""0"""
"Nuclêa Jr ,""Pará Júnior"",""0"""
"Nuclêa Jr ,""Pará Júnior"",""0"""
"Nuclêa Jr ,""Pará Júnior"",""0"""
"EJEP,""FEJESC"",""1"""
"EJEP,""FEJESC"",""0"""
"EJEP,""FEJESC"",""4"""
"EJEP,""FEJESC"",""2"""
"SEC Jr. Consultoria,""FEJEMG"",""1"""
"SEC Jr. Consultoria,""FEJEMG"",""1"""
"SEC Jr. Consultoria,""FEJEMG"",""1"""
"SEC Jr. Consultoria,""FEJEMG"",""1"""
"NuTEQ,""RN Júnior"",""0"""
"NuTEQ,""RN Júnior"",""2"""
"NuTEQ,""RN Júnior"",""1"""
"NuTEQ,""RN Júnior"",""0"""
"Alternativa Junior ,""FEJERS"",""0"""
"Alternativa Junior ,""FEJERS"",""0"""
"Alternativa Junior ,""FEJERS"",""0"""
"Alternativa Junior ,""FEJERS"",""0"""
"EJEM - UFSC,""FEJESC"",""1"""
"EJEM - UFSC,""FEJESC"",""0"""
"EJEM - UFSC,""FEJESC"",""0"""
"EJEM - UFSC,""FEJESC"",""0"""
"Ambiental Jr.,""FEJEMG"",""0"""
"Ambiental Jr.,""FEJEMG"",""0"""
"Ambiental Jr.,""FEJEMG"",""0"""
"Ambiental Jr.,""FEJEMG"",""0"""
"Equacione Jr.,""Juniores"",""1"""
"Equacione Jr.,""Juniores"",""0"""
"Equacione Jr.,""Juniores"",""1"""
"Equacione Jr.,""Juniores"",""4"""
"Comp Júnior,""FEJEMG"",""0"""
"Comp Júnior,""FEJEMG"",""0"""
"Comp Júnior,""FEJEMG"",""0"""
"Comp Júnior,""FEJEMG"",""0"""
"Empresa Júnior Engenharia Mackenzie,""FEJESP"",""3"""
"Empresa Júnior Engenharia Mackenzie,""FEJESP"",""0"""
"Empresa Júnior Engenharia Mackenzie,""FEJESP"",""0"""
"Empresa Júnior Engenharia Mackenzie,""FEJESP"",""1"""
"Provisão Empresa Júnior,""FEJEMG"",""1"""
"Provisão Empresa Júnior,""FEJEMG"",""0"""
"Provisão Empresa Júnior,""FEJEMG"",""0"""
"Provisão Empresa Júnior,""FEJEMG"",""0"""
"OBJETIVA JR,""FEJERS"",""1"""
"OBJETIVA JR,""FEJERS"",""0"""
"OBJETIVA JR,""FEJERS"",""1"""
"OBJETIVA JR,""FEJERS"",""0"""
"All Química Consultoria Júnior,""FEJESP"",""1"""
"All Química Consultoria Júnior,""FEJESP"",""1"""
"All Química Consultoria Júnior,""FEJESP"",""1"""
"All Química Consultoria Júnior,""FEJESP"",""1"""
"ADCONT JR,""Pará Júnior"",""0"""
"ADCONT JR,""Pará Júnior"",""0"""
"ADCONT JR,""Pará Júnior"",""0"""
"ADCONT JR,""Pará Júnior"",""0"""
"Sinapse Júnior - Consultoria e Soluções,""Juniores"",""2"""
"Sinapse Júnior - Consultoria e Soluções,""Juniores"",""1"""
"Sinapse Júnior - Consultoria e Soluções,""Juniores"",""0"""
"Sinapse Júnior - Consultoria e Soluções,""Juniores"",""0"""
"VetJr,""FEJEMG"",""0"""
"VetJr,""FEJEMG"",""0"""
"VetJr,""FEJEMG"",""1"""
"VetJr,""FEJEMG"",""0"""
"AD Júnior Consultoria e Projetos,""RioJunior"",""3"""
"AD Júnior Consultoria e Projetos,""RioJunior"",""0"""
"AD Júnior Consultoria e Projetos,""RioJunior"",""0"""
"AD Júnior Consultoria e Projetos,""RioJunior"",""0"""
"ADM.Jr - UEFS,""UNIJr-BA"",""1"""
"ADM.Jr - UEFS,""UNIJr-BA"",""0"""
"ADM.Jr - UEFS,""UNIJr-BA"",""0"""
"ADM.Jr - UEFS,""UNIJr-BA"",""0"""
"Equilíbrio Assessoria Econômica,""FEJERS"",""28"""
"Equilíbrio Assessoria Econômica,""FEJERS"",""26"""
